Frame;Clase;ID;Xmin;Ymin;Xmax;Ymax
4;car;34;1806.029297;483.155518;1852.759155;520.114685
4;car;35;0.000000;327.467010;46.976929;357.211975
4;car;36;742.133789;374.524994;782.799072;408.805573
4;car;37;1489.461060;490.506073;1567.698975;540.771973
4;pedestrian;38;359.694855;644.108704;393.894531;708.635925
4;car;39;1596.894409;478.415955;1648.434326;516.380676
4;car;40;670.876099;376.593781;714.788879;403.801392
4;car;41;1852.265503;560.231018;1918.878540;608.599792
4;car;42;1566.477539;488.731262;1626.970825;538.953369
4;car;43;1615.238159;531.669067;1702.569702;574.901123
4;car;44;1881.378296;592.016724;1920.000000;655.163574
4;car;45;1097.976562;284.551392;1123.459595;300.550751
4;car;46;1639.397217;545.740356;1742.976440;597.663635
4;car;47;261.013672;320.478363;306.755707;348.427460
4;car;48;1090.199951;258.323303;1106.541504;270.338287
4;car;49;1677.596436;492.516388;1750.148804;544.455933
4;car;50;1075.321289;372.967621;1114.709839;407.121094
4;car;51;1043.167358;281.109314;1062.186768;298.508942
4;car;52;706.038879;373.805756;747.881287;402.099030
4;car;53;1736.422119;555.189453;1834.360352;614.117981
4;car;55;400.246887;356.217590;466.169067;388.258087
5;car;1;922.732544;752.024658;1023.748291;901.808533
5;car;2;1079.346924;615.789124;1151.669189;705.781921
5;car;3;955.063904;588.740112;1019.879883;659.815491
5;car;4;978.578430;503.753021;1035.134521;561.436218
5;car;5;1071.732422;410.487701;1109.034790;448.732178
5;car;6;1151.718384;486.564728;1206.254150;541.043457
5;car;7;1012.238403;368.039948;1043.123169;396.859650
5;car;8;551.357178;368.062042;609.870667;400.347870
5;car;9;1773.446655;711.125183;1919.477295;801.979187
5;car;10;1625.560791;576.861328;1725.575684;655.831848
5;car;11;1074.625732;315.942505;1093.669800;334.242950
5;pedestrian;12;1385.553467;728.581848;1413.696045;804.347961
5;pedestrian;13;2.733881;585.233093;33.804012;645.275391
5;car;14;639.838135;362.535339;675.206177;388.584534
5;car;15;783.143799;377.680389;831.190186;408.335449
5;car;16;349.060181;371.161652;425.257172;400.773895
5;car;17;291.249939;324.744690;340.544067;350.720612
5;car;18;124.016144;343.630829;178.641617;377.979950
5;car;19;1708.303955;587.838745;1821.589478;661.805420
5;car;20;73.480583;344.635559;123.465576;377.164368
5;car;21;507.796539;339.277405;547.838867;364.456207
5;car;22;1567.984131;545.823547;1651.641113;609.255615
5;car;23;1788.733154;507.576477;1844.558594;549.053040
5;car;24;1222.156128;426.335602;1313.069214;461.953796
5;car;25;1832.018921;599.430664;1908.425903;667.763306
5;car;26;1865.129639;512.531921;1919.804443;554.593811
5;car;27;1112.400513;326.153748;1138.598633;347.197632
5;car;28;1107.804688;307.634766;1129.369873;323.252716
5;car;29;205.609650;338.694122;273.773621;365.453156
5;car;30;48.720528;315.437256;105.045105;341.933105
5;car;31;300.640045;350.097961;355.540497;386.010681
5;car;33;13.789836;325.143219;74.071823;351.335052
5;car;34;1805.359131;483.060455;1852.657227;520.551453
5;car;35;0.000000;327.550415;46.445629;357.308380
5;car;36;742.158813;374.506012;782.886292;408.832977
5;car;37;1489.072876;490.455261;1567.124268;540.629578
5;car;39;1600.150635;481.559845;1647.883545;516.587463
5;car;40;671.382996;376.966827;715.141907;404.022522
5;car;41;1852.616821;560.110596;1918.537476;607.945923
5;car;42;1565.421021;488.608856;1625.837158;538.803772
5;car;43;1616.424927;531.139832;1705.357178;575.091736
5;car;44;1880.905518;591.869324;1920.000000;657.117310
5;car;45;1097.848022;284.540283;1123.720459;300.866852
5;car;46;1644.790405;545.745789;1738.875122;592.799438
5;car;47;260.927582;320.528198;306.453583;348.319611
5;car;48;1090.306763;258.215912;1106.608521;270.182983
5;car;49;1678.144165;492.539093;1749.877441;543.884766
5;car;50;1074.711060;371.168060;1116.245483;407.440491
5;car;51;1043.249023;281.255920;1062.114990;298.469055
5;car;52;705.917664;374.105469;747.514282;402.197357
5;car;53;1736.412354;555.025085;1834.468262;614.355103
5;car;55;400.593445;356.511719;465.870178;388.257812
6;car;1;922.457336;754.670471;1023.134033;903.803833
6;car;2;1079.975220;616.713135;1152.044434;706.048645
6;car;3;954.511292;589.078064;1019.868530;660.837097
6;car;4;978.055725;504.035156;1034.614258;561.721680
6;car;5;1072.020142;411.628113;1108.803955;449.315247
6;car;6;1151.905273;487.243225;1206.566040;541.904114
6;car;7;1011.800110;368.106903;1042.906250;397.198761
6;car;8;551.308655;367.667847;610.143738;400.147278
6;car;9;1773.524902;711.110229;1919.474365;801.918884
6;car;10;1625.584229;576.377136;1725.316650;655.215698
6;car;11;1074.582275;316.115295;1093.498047;334.273529
6;pedestrian;12;1385.253540;728.719849;1413.250610;803.809082
6;pedestrian;13;3.709868;584.672302;35.792370;645.898804
6;car;14;639.625366;361.692200;676.027100;388.541260
6;car;15;782.743408;377.199982;831.157715;408.070831
6;car;16;349.009277;370.726227;425.515503;400.460724
6;car;17;291.585968;324.627930;340.457123;350.368835
6;car;18;125.274803;343.576294;179.519775;377.805664
6;car;19;1710.576050;589.255249;1821.449341;661.554810
6;car;20;73.539452;344.536346;123.710411;377.165527
6;car;21;508.431519;339.087006;548.166870;363.999878
6;car;22;1567.603149;545.645813;1650.776978;608.945068
6;car;23;1788.911743;507.659027;1844.843872;549.281494
6;car;24;1220.438232;425.378418;1313.266724;461.825439
6;car;25;1829.894043;598.938477;1906.919189;667.693970
6;car;26;1866.424194;512.365723;1920.000000;554.148621
6;car;27;1112.623535;326.314514;1138.836792;347.381531
6;car;28;1107.988525;307.164886;1130.042480;323.205383
6;car;29;205.739792;338.467346;275.131409;365.703003
6;car;30;48.664257;315.401947;104.968239;341.882568
6;car;31;300.552490;350.086151;355.461578;386.067474
6;car;33;14.381544;325.182343;74.391975;351.264496
6;car;34;1804.797607;482.886047;1852.467896;520.802612
6;car;35;0.000000;327.599182;46.087715;357.411865
6;car;36;741.392334;373.878204;782.720337;408.672485
6;car;37;1488.610352;490.140900;1566.678345;540.385620
6;car;39;1602.663940;482.829071;1649.148560;516.751160
6;car;40;672.083496;377.934784;714.665527;404.180939
6;car;41;1853.340820;559.506592;1917.904663;606.263977
6;car;42;1563.711670;488.411560;1623.893799;538.581848
6;car;43;1617.020508;529.611633;1708.367432;574.664917
6;car;44;1880.489136;591.811035;1920.000000;658.924072
6;car;45;1098.370972;284.695679;1124.194336;301.103149
6;car;46;1640.008789;545.310059;1746.174072;598.736877
6;car;47;261.662354;319.351807;307.339417;347.287201
6;car;48;1090.033203;258.204987;1106.481812;270.289551
6;car;49;1678.250610;492.539703;1749.364258;543.472351
6;car;50;1077.773193;379.211395;1112.229492;408.886505
6;car;51;1043.294678;281.357574;1062.098999;298.458740
6;car;53;1736.196655;553.404602;1834.608765;613.327454
6;car;55;400.958984;357.029541;465.711151;388.558563
6;car;32;1078.805786;368.327942;1113.265137;402.611572
6;pedestrian;38;361.065857;643.982483;395.371826;708.792908
7;car;1;922.645813;757.233276;1023.053711;905.750549
7;car;2;1079.873047;617.365173;1152.339355;706.779541
7;car;3;954.287415;589.500122;1019.421021;661.016479
7;car;4;977.319702;504.119720;1034.368164;562.334473
7;car;5;1072.328613;412.932800;1108.215942;449.554352
7;car;6;1151.743896;487.639618;1207.137207;543.133728
7;car;7;1011.599487;368.579926;1042.643066;397.654816
7;car;8;551.346191;367.558411;610.182678;400.051208
7;car;9;1773.800537;711.162109;1919.507690;801.839172
7;car;10;1626.728271;578.033691;1723.874268;654.777466
7;car;11;1074.581055;316.363708;1093.344604;334.342346
